Sun Apr  7 23:14:41 2019    /home/pi/ballance/Ballance/PythonCode/stats

         14936588 function calls (14873155 primitive calls) in 77.027 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      359    0.009    0.000    0.139    0.000 deprecation.py:290(deprecated_wrapper)
     1394    0.009    0.000    0.018    0.000 python_message.py:425(_DefaultValueConstructorForField)
     2530    0.009    0.000    0.009    0.000 <frozen importlib._bootstrap>:310(__init__)
     2735    0.009    0.000    0.011    0.000 python_message.py:1472(_UpdateOneofState)
     4412    0.009    0.000    0.009    0.000 containers.py:196(__init__)
     5191    0.009    0.000    0.014    0.000 sre_parse.py:242(match)
      544    0.009    0.000    0.038    0.000 tf_decorator.py:66(make_decorator)
      105    0.009    0.000    0.009    0.000 gast.py:7(_make_node)
       35    0.009    0.000    0.009    0.000 mmalobj.py:1468(__setitem__)
     2113    0.009    0.000    0.009    0.000 descriptor.py:114(__init__)
    10939    0.008    0.000    0.008    0.000 {built-in method _thread.get_ident}
     2334    0.008    0.000    0.013    0.000 version.py:65(_compare)
     2403    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:794(__init__)
      359    0.008    0.000    0.008    0.000 python_message.py:785(_AddPropertiesForExtensions)
       47    0.008    0.000    0.128    0.003 {built-in method builtins.sorted}
     1338    0.008    0.000    0.021    0.000 python_message.py:832(<listcomp>)
     2524    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
     2429    0.008    0.000    0.008    0.000 {method 'update' of 'dict' objects}
     3038    0.008    0.000    0.011    0.000 inspect.py:216(istraceback)
      412    0.008    0.000    0.017    0.000 inspect.py:2763(_hash_basis)
     9890    0.008    0.000    0.008    0.000 {method 'lstrip' of 'str' objects}
    15961    0.008    0.000    0.008    0.000 {built-in method _stat.S_ISLNK}
        1    0.008    0.008    0.082    0.082 machar.py:118(_do_init)
     8417    0.008    0.000    0.008    0.000 {method 'group' of '_sre.SRE_Match' objects}
      240    0.008    0.000    0.183    0.001 __init__.py:2457(from_location)
     1166    0.008    0.000    0.017    0.000 codecs.py:318(decode)
      536    0.008    0.000    0.008    0.000 descriptor_pool.py:141(_CheckConflictRegister)
      359    0.008    0.000    0.008    0.000 python_message.py:1101(_AddSerializePartialToStringMethod)
     6295    0.007    0.000    0.007    0.000 {built-in method _thread.allocate_lock}
   412/16    0.007    0.000    0.025    0.002 pyparsing.py:1347(_parseNoCache)
    10854    0.007    0.000    0.007    0.000 {built-in method _imp.acquire_lock}
     2814    0.007    0.000    0.010    0.000 inspect.py:72(isclass)
     3038    0.007    0.000    0.009    0.000 inspect.py:226(isframe)
     2718    0.007    0.000    0.009    0.000 inspect.py:80(ismethod)
      164    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
      480    0.007    0.000    0.217    0.000 __init__.py:2021(distributions_from_metadata)
     1332    0.007    0.000    0.011    0.000 __init__.py:1966(dist_factory)
       92    0.007    0.000    0.008    0.000 all_util.py:54(<listcomp>)
      882    0.007    0.000    0.082    0.000 __init__.py:2623(_get_metadata)
      224    0.007    0.000    0.629    0.003 sre_compile.py:531(compile)
        4    0.007    0.002    0.008    0.002 mmalobj.py:628(__init__)
      232    0.007    0.000    0.611    0.003 ops.py:2504(__call__)
      674    0.007    0.000    0.018    0.000 tf_logging.py:157(vlog)
     3133    0.007    0.000    0.007    0.000 <frozen importlib._bootstrap>:190(cb)
      332    0.007    0.000    0.011    0.000 python_message.py:641(_AddPropertiesForRepeatedField)
      224    0.007    0.000    0.075    0.000 sre_compile.py:412(_compile_info)
       66    0.007    0.000    0.012    0.000 pyparsing.py:3499(__init__)
     1578    0.006    0.000    0.012    0.000 <frozen importlib._bootstrap>:870(_find_spec_legacy)
        1    0.006    0.006    0.022    0.022 binding.py:85(build_conditional_library)
      187    0.006    0.000    0.639    0.003 ops.py:2414(NotDifferentiable)
      883    0.006    0.000    0.014    0.000 python_message.py:1546(Modified)
      900    0.006    0.000    0.007    0.000 {method '__reduce_ex__' of 'object' objects}
     2546    0.006    0.000    0.006    0.000 version.py:207(<genexpr>)
      184    0.006    0.000    0.008    0.000 encoder.py:188(SpecificSizer)
     5191    0.006    0.000    0.006    0.000 {built-in method sys.getrefcount}
      718    0.006    0.000    0.078    0.000 version.py:24(parse)
     1787    0.006    0.000    0.006    0.000 sre_parse.py:105(__init__)
      900    0.006    0.000    0.064    0.000 pyparsing.py:1144(copy)
      112    0.006    0.000    0.009    0.000 encoder.py:646(BoolEncoder)
     2954    0.006    0.000    0.008    0.000 sre_parse.py:165(append)
     2401    0.006    0.000    0.007    0.000 inspect.py:240(iscode)
       83    0.006    0.000    0.279    0.003 op_def_library.py:286(add_op_list)
       20    0.006    0.000    0.006    0.000 {method 'write' of '_io.FileIO' objects}
      353    0.006    0.000    0.013    0.000 deprecation.py:256(deprecated)
      162    0.006    0.000    0.018    0.000 __init__.py:1515(_get)
      359    0.006    0.000    0.067    0.000 python_message.py:106(__new__)
      775    0.006    0.000    0.021    0.000 __init__.py:2257(yield_lines)
      430    0.006    0.000    0.014    0.000 version.py:236(__str__)
     2395    0.006    0.000    0.007    0.000 sre_parse.py:276(tell)
     1674    0.006    0.000    0.019    0.000 decoder.py:270(InnerDecode)
      518    0.006    0.000    0.006    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
     2788    0.006    0.000    0.006    0.000 python_message.py:290(_IsMapField)
